Model 	GenomeIDSpeciesA 	GenomeIDSpeciesB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo 	PercentChangeRawA 	PercentChangeRawB 	TypeOfInteraction
1519439.3X866778.4 	1519439.3 	866778.4 	9.45044161079 	66.2347503232 	6.40991737032 	62.2460612132 	0.474346869828 	0.0640793816068 	Commensalism
1519439.3X927666.3 	1519439.3 	927666.3 	8.27019476014 	13.0883635755 	6.40991737032 	3.60059435395 	0.290218622542 	2.63505640705 	Mutualism
1539298.3X575604.3 	1539298.3 	575604.3 	94.6617176128 	29.0615890954 	74.4521110572 	25.4832714542 	0.271444372344 	0.140418299418 	Mutualism
172045.12X267747.3 	172045.12 	267747.3 	165.662881087 	82.8572777468 	124.578880757 	154.353403393 	0.329783026468 	-0.463197597685 	Parasitism
172045.12X525257.3 	172045.12 	525257.3 	67.0679454194 	57.5109785338 	124.578880757 	87.7224984404 	-0.461642735816 	-0.344398762504 	Competition
176279.9X888055.3 	176279.9 	888055.3 	44.9682698444 	101.718618816 	44.6964484443 	91.0990569708 	0.00608149885642 	0.116571589194 	Commensalism
196627.13X1203564.3 	196627.13 	1203564.3 	133.652986903 	16.7719355489 	115.244156971 	20.4305148357 	0.159737642375 	-0.1790742581 	Parasitism
267747.3X1035187.4 	267747.3 	1035187.4 	159.11977095 	3.62150512571 	154.353403393 	3.62233176535 	0.0308795753914 	-0.000228206496132 	Neutralism
267747.3X1076135.3 	267747.3 	1076135.3 	140.745480453 	181.369014948 	154.353403393 	187.733921963 	-0.088160822119 	-0.0339038728241 	Neutralism
267747.3X1077975.4 	267747.3 	1077975.4 	119.997046172 	127.258808748 	154.353403393 	128.148389783 	-0.222582440463 	-0.00694180423575 	Amensalism
267747.3X1094954.4 	267747.3 	1094954.4 	152.271238322 	35.9815384233 	154.353403393 	35.9815384233 	-0.0134895961166 	0.0 	Neutralism
267747.3X1095740.3 	267747.3 	1095740.3 	159.282910109 	3.85866820906 	154.353403393 	2.41581425883 	0.0319364951316 	0.597253677495 	Commensalism
267747.3X1097667.3 	267747.3 	1097667.3 	122.566975597 	159.097780211 	154.353403393 	140.768548444 	-0.205932795113 	0.130208288496 	Parasitism
267747.3X1105030.3 	267747.3 	1105030.3 	160.936527126 	18.3944014256 	154.353403393 	19.877492208 	0.0426496830539 	-0.0746115640183 	Neutralism
267747.3X1160721.7 	267747.3 	1160721.7 	148.161430985 	16.8361028594 	154.353403393 	9.4465812583 	-0.0401155547716 	0.782242951079 	Commensalism
267747.3X1197728.3 	267747.3 	1197728.3 	153.153465286 	63.6905915761 	154.353403393 	63.69184768 	-0.00777396598081 	-1.9721580481e-05 	Neutralism
267747.3X1203573.3 	267747.3 	1203573.3 	157.333507082 	16.6856544745 	154.353403393 	25.3374074362 	0.019307016389 	-0.341461650466 	Amensalism
