ModelName 	ObjFuntionSpeciesA 	ObjFunctionSpeceisB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo
A_1125724_3XA_1203573_3 	A_1125724_3 	A_1203573_3 	7.77501308186e-25 	3.86299993854 	2.40335704788 	3.05338917297
A_1160721_7XA_1160721_7 	A_1160721_7 	A_1160721_7 	0.966131909799 	0.732617650076 	1.69874955987 	1.69874955987
A_1197728_3XA_1077975_4 	A_1197728_3 	A_1077975_4 	5.23601692675e-25 	24.7256579876 	7.78309408591 	24.7256579876
A_1197728_3XA_1105030_3 	A_1197728_3 	A_1105030_3 	7.78309408591 	12.3624425783 	7.78309408591 	12.4270826445
A_1197728_3XA_1203573_3 	A_1197728_3 	A_1203573_3 	7.78309408591 	3.32914551981 	7.78309408591 	3.05338917297
A_1197728_3XA_1235815_4 	A_1197728_3 	A_1235815_4 	7.78309408591 	-3.73173816816e-13 	7.78309408591 	6.40793751026
A_1197728_3XA_1332188_3 	A_1197728_3 	A_1332188_3 	7.7830940859 	2.22365621375 	7.78309408591 	3.68896643112
A_1197728_3XA_1400053_5 	A_1197728_3 	A_1400053_5 	13.4205180032 	6.56332273144e-28 	7.7830940859 	7.42675123239
A_1197728_3XA_267747_3 	A_1197728_3 	A_267747_3 	-1.82182152435e-11 	24.7255086098 	7.78309408591 	24.7255086097
A_1197728_3XA_411486_3 	A_1197728_3 	A_411486_3 	7.78309408591 	1.53047654441 	7.78309408591 	1.46780645825
A_1197728_3XA_457394_3 	A_1197728_3 	A_457394_3 	7.7830940859 	1.78136687039 	7.78309408591 	1.78136687039
A_1197728_3XA_552395_3_model 	A_1197728_3 	A_552395_3_model 	7.78309408591 	11.1037009028 	7.78309408591 	12.3720208349
A_1197728_3XA_596320_3 	A_1197728_3 	A_596320_3 	-1.13595970352e-28 	15.2048471668 	7.78309408591 	15.2048471668
A_1197728_3XA_679201_3 	A_1197728_3 	A_679201_3 	0.0 	30.5091313735 	7.78309408591 	30.5091313735
A_1197728_3XA_713605_5 	A_1197728_3 	A_713605_5 	7.78309408591 	1.66098047709 	7.7830940859 	1.7285697881
A_1197728_3XA_857291_3 	A_1197728_3 	A_857291_3 	10.1180223117 	1.11813468036e-14 	7.78309408591 	6.37648148707
A_1197728_3XA_871541_3 	A_1197728_3 	A_871541_3 	6.68954047627e-28 	24.7256664882 	7.78309408591 	24.7256664882
A_1197728_3XA_888056_4 	A_1197728_3 	A_888056_4 	7.7830940859 	24.4283554543 	7.78309408591 	32.2114495402
A_1197728_3XA_925409_4 	A_1197728_3 	A_925409_4 	-8.06910042732e-26 	12.4579858549 	7.78309408591 	12.4579858549
A_1197728_3XA_95617_3 	A_1197728_3 	A_95617_3 	0.0 	24.7257069661 	7.78309408591 	24.725706966
A_1197728_3XA_997894_4 	A_1197728_3 	A_997894_4 	32.2114495402 	3.1353185152 	7.78309408591 	24.4644587377
A_1203556_3XA_1118055_3 	A_1203556_3 	A_1118055_3 	14.7331885072 	4.48973607817 	12.5110717784 	2.86066968651
A_1203556_3XA_1197728_3 	A_1203556_3 	A_1197728_3 	12.4447784474 	7.78309408591 	12.5110717784 	7.78309408591
A_1203556_3XA_196627_13 	A_1203556_3 	A_196627_13 	0.0 	32.2114495402 	12.5110717784 	24.7253830999
A_1203556_3XA_523794_5 	A_1203556_3 	A_523794_5 	1.30280946477e-23 	37.0873395974 	12.5110717784 	12.3624465325
A_1203556_3XA_537013_3 	A_1203556_3 	A_537013_3 	3.3829827963 	9.96914782993 	12.5110717784 	0.127699415409
A_1203556_3XA_562973_4 	A_1203556_3 	A_562973_4 	0.0 	32.2114495402 	12.5110717784 	24.7256826795
A_1203556_3XA_635013_3 	A_1203556_3 	A_635013_3 	1.83947724986 	11.0197631359 	12.5110717784 	0.238864222342
A_1203556_3XA_762963_3 	A_1203556_3 	A_762963_3 	12.2196285869 	12.0876343321 	12.5110717784 	16.2048516596
A_1203556_3XA_997353_4 	A_1203556_3 	A_997353_4 	12.4415162719 	8.13138164177 	12.5110717784 	7.82625691034
A_1203559_3XA_1076135_3 	A_1203559_3 	A_1076135_3 	0.0 	32.2114495402 	4.08490754086 	32.2114495402
A_1203559_3XA_1097667_3 	A_1203559_3 	A_1097667_3 	0.0 	31.5489064563 	4.08490754086 	31.5489064563
A_1203559_3XA_267747_3 	A_1203559_3 	A_267747_3 	0.0 	24.7255086097 	4.08490754086 	24.7255086097
A_1203559_3XA_428125_8 	A_1203559_3 	A_428125_8 	9.5254607537 	4.74205595225 	4.08490754086 	0.238869688949
A_1203564_3XA_936563_3 	A_1203564_3 	A_936563_3 	3.72976975784 	15.3695228482 	2.43763474086 	9.2793566106
A_1203566_3XA_663917_3_model 	A_1203566_3 	A_663917_3_model 	6.44291596139e-12 	24.7255294591 	2.69184915851 	12.3627647296
A_1203573_3XA_411486_3 	A_1203573_3 	A_411486_3 	-4.32977351883e-25 	4.65594119369 	3.05338917297 	1.46780645825
A_1203603_3XA_267747_3 	A_1203603_3 	A_267747_3 	0.0 	28.3902832263 	5.69687115201 	24.7255086098
A_1203603_3XA_313596_4_model 	A_1203603_3 	A_313596_4_model 	14.5861100736 	0.985817671561 	5.69687115201 	7.66902826031
A_1203603_3XA_340101_3 	A_1203603_3 	A_340101_3 	6.25117996202 	18.5220742094 	5.69687115202 	12.3627482321
A_1203603_3XA_411483_3_model 	A_1203603_3 	A_411483_3_model 	6.48599265892 	3.77994867394 	5.69687115202 	3.49868914244
A_1218103_5XA_267747_3 	A_1218103_5 	A_267747_3 	18.445440535 	6.42094515329 	9.6991699722 	24.7255086097
A_1227268_3XA_1203556_3 	A_1227268_3 	A_1203556_3 	37.0873395974 	0.0 	12.3624465325 	12.5110717784
A_1227268_3XA_537013_3 	A_1227268_3 	A_537013_3 	24.7248930649 	-9.25760232311e-14 	12.3624465325 	0.12769941541
A_1227268_3XA_762963_3 	A_1227268_3 	A_762963_3 	24.7248930649 	1.18861822296e-13 	12.3624465325 	16.2048516596
A_1227268_3XA_862512_3 	A_1227268_3 	A_862512_3 	24.7248930649 	-2.20881053462e-28 	12.3624465325 	3.08901330302
A_1227268_3XA_944560_4 	A_1227268_3 	A_944560_4 	-2.72630328844e-27 	24.7256853106 	12.3624465325 	24.7256853106
A_1227268_3XA_997353_4 	A_1227268_3 	A_997353_4 	4.23111724218 	8.13138164177 	12.3624465325 	7.82625691034
A_1227272_3XA_445970_5 	A_1227272_3 	A_445970_5 	9.83534992127 	2.52735508916 	6.92240672543 	4.30195868889
A_1235797_3XA_879304_3 	A_1235797_3 	A_879304_3 	7.98862920494 	16.7050696751 	2.97037637062 	0.23925429573
A_1235815_4XA_1077975_4 	A_1235815_4 	A_1077975_4 	1.26217744835e-28 	24.7256579876 	6.40793751026 	24.7256579876
A_1235815_4XA_1105030_3 	A_1235815_4 	A_1105030_3 	6.40793751026 	12.3734110326 	6.40793751026 	12.4270826445
A_1235815_4XA_1321817_3 	A_1235815_4 	A_1321817_3 	6.40793751026 	1.47006518402 	6.40793751026 	1.5730350624
A_1235815_4XA_267747_3 	A_1235815_4 	A_267747_3 	0.0 	24.7255086097 	6.40793751026 	24.7255086097
A_1235815_4XA_457394_3 	A_1235815_4 	A_457394_3 	6.40793751026 	1.78136687039 	6.40793751026 	1.78136687039
A_1235815_4XA_552395_3_model 	A_1235815_4 	A_552395_3_model 	6.40793751026 	12.0049619605 	6.40793751026 	12.3720208349
A_1235815_4XA_596320_3 	A_1235815_4 	A_596320_3 	-1.4540284205e-26 	15.2048471668 	6.40793751026 	15.2048471667
A_1235815_4XA_679201_3 	A_1235815_4 	A_679201_3 	0.0 	30.5091313735 	6.40793751026 	30.5091313735
A_1235815_4XA_997830_4 	A_1235815_4 	A_997830_4 	6.40196575209 	0.184770665547 	6.40793751026 	0.241581420921
A_1235815_4XA_997894_4 	A_1235815_4 	A_997894_4 	32.2114495402 	3.1353105113 	6.40793751026 	24.4644587377
